{'it': 37, 'wall': 235.6, 'records': 794, 'policy_loss': 3.9768, 'value_loss': 0.0007, 'ep_len': 44.1, 'fresh_rows': 28732, 'hit_rows': 10049}
{'it': 38, 'wall': 241.5, 'records': 807, 'policy_loss': 3.8694, 'value_loss': 0.0006, 'ep_len': 47.5, 'fresh_rows': 24330, 'hit_rows': 10510}
{'it': 39, 'wall': 248.4, 'records': 783, 'policy_loss': 3.7337, 'value_loss': 0.0007, 'ep_len': 35.6, 'fresh_rows': 27385, 'hit_rows': 10437}
{'it': 40, 'wall': 254.5, 'records': 791, 'policy_loss': 3.7497, 'value_loss': 0.0007, 'ep_len': 34.4, 'fresh_rows': 26244, 'hit_rows': 9641}
{'it': 41, 'wall': 261.0, 'records': 834, 'policy_loss': 3.7874, 'value_loss': 0.0013, 'ep_len': 39.7, 'fresh_rows': 28072, 'hit_rows': 10163}
{'it': 42, 'wall': 267.4, 'records': 802, 'policy_loss': 3.8287, 'value_loss': 0.0011, 'ep_len': 36.5, 'fresh_rows': 28236, 'hit_rows': 9698}
{'it': 43, 'wall': 274.7, 'records': 784, 'policy_loss': 3.6988, 'value_loss': 0.0116, 'ep_len': 34.1, 'fresh_rows': 29208, 'hit_rows': 10541}
{'it': 44, 'wall': 281.1, 'records': 791, 'policy_loss': 3.8568, 'value_loss': 0.0018, 'ep_len': 41.6, 'fresh_rows': 28120, 'hit_rows': 9421}
{'it': 45, 'wall': 287.1, 'records': 777, 'policy_loss': 3.8903, 'value_loss': 0.0014, 'ep_len': 43.2, 'fresh_rows': 26196, 'hit_rows': 9080}
{'it': 46, 'wall': 294.5, 'records': 809, 'policy_loss': 3.8626, 'value_loss': 0.001, 'ep_len': 38.5, 'fresh_rows': 31434, 'hit_rows': 10032}
{'it': 47, 'wall': 300.7, 'records': 811, 'policy_loss': 3.8171, 'value_loss': 0.0432, 'ep_len': 40.5, 'fresh_rows': 27129, 'hit_rows': 9236}
{'it': 48, 'wall': 307.2, 'records': 794, 'policy_loss': 3.8211, 'value_loss': 0.0032, 'ep_len': 36.1, 'fresh_rows': 27932, 'hit_rows': 9606}
{'it': 49, 'wall': 312.7, 'records': 769, 'policy_loss': 3.6609, 'value_loss': 0.0021, 'ep_len': 38.5, 'fresh_rows': 24464, 'hit_rows': 8893}
{'it': 50, 'wall': 319.2, 'records': 785, 'policy_loss': 3.8321, 'value_loss': 0.001, 'ep_len': 35.7, 'fresh_rows': 28126, 'hit_rows': 10529}
{'it': 51, 'wall': 326.3, 'records': 790, 'policy_loss': 3.8006, 'value_loss': 0.0008, 'ep_len': 37.6, 'fresh_rows': 27588, 'hit_rows': 9616}
{'it': 52, 'wall': 333.7, 'records': 804, 'policy_loss': 3.8613, 'value_loss': 0.048, 'ep_len': 40.2, 'fresh_rows': 31596, 'hit_rows': 10188}
{'it': 53, 'wall': 340.5, 'records': 792, 'policy_loss': 3.8826, 'value_loss': 0.0067, 'ep_len': 37.7, 'fresh_rows': 26510, 'hit_rows': 9501}
{'it': 54, 'wall': 347.5, 'records': 813, 'policy_loss': 3.8498, 'value_loss': 0.0032, 'ep_len': 38.7, 'fresh_rows': 27310, 'hit_rows': 9127}
{'it': 55, 'wall': 354.9, 'records': 817, 'policy_loss': 3.8139, 'value_loss': 0.0017, 'ep_len': 38.9, 'fresh_rows': 31126, 'hit_rows': 9910}
{'it': 56, 'wall': 362.1, 'records': 818, 'policy_loss': 3.8225, 'value_loss': 0.0014, 'ep_len': 40.9, 'fresh_rows': 29326, 'hit_rows': 9455}
{'it': 57, 'wall': 369.0, 'records': 780, 'policy_loss': 3.7835, 'value_loss': 0.0006, 'ep_len': 39.0, 'fresh_rows': 27553, 'hit_rows': 8937}
{'it': 58, 'wall': 375.4, 'records': 769, 'policy_loss': 3.6482, 'value_loss': 0.0008, 'ep_len': 40.5, 'fresh_rows': 28230, 'hit_rows': 9370}
{'it': 59, 'wall': 381.7, 'records': 775, 'policy_loss': 3.7647, 'value_loss': 0.0014, 'ep_len': 43.1, 'fresh_rows': 27754, 'hit_rows': 10041}
{'it': 60, 'wall': 387.9, 'records': 768, 'policy_loss': 3.7037, 'value_loss': 0.0017, 'ep_len': 36.6, 'fresh_rows': 24697, 'hit_rows': 9096}
